OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,x2,y2
42,5_23,20260529,5,23,COTOS,Con Ctra a Valdesquí,S,23,12023,,93,178,C,40,181,12001,1200101,A0046,Ctra, ,M-604 (de la A-1 al Puerto de Navacerrada),N,1,,,40109,01,001,,T1201,1200101001,,,C2,, ,0,,508-2,2,3,20030331,19860101,,418773,4519681,N,,,,,C-9,418664.2786,4519474.0889
43,5_99,20260529,5,99,SEGOVIA,Fuente Zapatera. Segovia (HONTORIA),S,99,12100,,,,U,40,194,,,99999,Parcela,,292 Polígono 9,SN,SN,,, ,,,,,,,, ,, ,0,102,,2,3,20030331,19860101,,403456,4529896,T,,,,,,403346.9284,4529688.7847
44,5_100,20260529,5,100,SIGÜENZA,El Monte. Siguenza (ALCUENZA) (GUADALAJARA),S,100,70302,,,,U,19,257,,,99999,Parcela,,6035 Polígono 502,SN,SN,,, ,,,,,,,, ,, ,0,107,,2,3,20030331,19860101,,531217,4550244,T,,,,,,531108.1289,4550035.7196
45,5_101,20260529,5,101,TOLEDO,"FC Alberquilla-DSA
La alberquilla. Toledo (TOLEDO)",S,101,92102,,,,U,45,168,16801,,99999,Parcela,,2 Polígono 95,SN,SN,,, ,01,,,,,,, ,, ,0,100,,2,3,20030331,19860101,,415021,4413913,T,,,,,,414911.0949,4413705.6146
46,5_142,20260529,5,142,AEROPUERTO T4,,I,142,98305,,90,33,U,28,079,07901,0790101,20169,Ctra,de,Alcobendas a Barajas,SN,SN,,,28042,21,028,214,T079916658,0790101240,4,2,A,1,079-21-575,575,,559-2,2,3,20110914,20110915,,449828,4482718,N,,,,,C-1,449718.4491,4482509.9861
47,5_121,20260529,5,121,MEDINA DEL CAMPO,,S,121,10500,,,,U,47,085,08501,,99999,Avda.,de la,Estación,SN,SN,,, ,01,,,,,,, ,, ,0,,427-2,2,3,20081030,20080101,,340254,4575951,T,,,,,,340144.931,4575743.922
48,5_117,20260529,5,117,"NAVAS DEL MARQUÉS, LAS",,S,117,10207,,,,U,05,168,16801,,99999,Calle,,DESCONOCIDA,N,SN,,, ,01,,,,,,, ,, ,0,,532-1,2,3,20080402,20080402,,384898,4494257,T,,,,,,384788.6069,4494049.9293
49,5_116,20260529,5,116,ARÉVALO,,S,116,10409,,,,U,05,016,01601,,99999,Calle,,Renfe,N,2,,, ,01,,,,,,, ,, ,0,,455-3,2,3,20080402,20080402,,357036,4545704,T,,,,,,356926.995,4545497.1435
50,5_60,20260529,5,60,POZUELO,,S,60,10002,,93,303,U,28,115,11504,1150401,A0255,Calle, ,Estación,N,2,,,28224,02,004,,T115197,1150401010,,6,B1,3,115-009,996,53,559-1,2,3,20030331,19860101,,432259,4477916,N,,,,,"C-10, C-7",432149.3882,4477708.935
51,5_38,20260529,5,38,GUADALAJARA,Estación RENFE,S,38,70200,,93,224,U,19,130,13002,1300201,99999,Plaza,de la,Estación,SN,SN,,,,01,001,,T1301,1300201001,,,E1,, ,0,28,536-1,2,3,20030331,19860101,,484688,4499472,N,,,,,"C-2, C-8a, C-8b",484578.4978,4499264.068
52,5_21,20260529,5,21,COLMENAR VIEJO,,S,21,17005,,93,174,U,28,045,04505,0450501,99999,Calle,de la,Doctora Nogales de la Morena,SN,SN,,,28770,01,016,,T045610,0450501001,,7,B3,3,045-003,611,,534-1,2,3,20030331,19860101,,434520,4499843,T,,,,,C-4,434410.6556,4499635.8933
53,5_83,20260529,5,83,TRES CANTOS,,S,83,17004,,92,353,U,28,903,90301,9030103,00285,Plaza,de la,Estación,N,1,,,28760,01,016,,T903274,9030103009,,7,B2,3,903-007,640,65,534-1,2,3,20030331,19860101,,439558,4494635,P,,,,,C-4,439449.1881,4494427.7323
54,5_37,20260529,5,37,"GOLOSO, EL",El goloso. Madrid (MADRID-FUENCARRAL) (MADRID),S,37,17003,,93,221,U,28,079,07901,0790199,99999,Ctra,de,Colmenar Viejo,SN,SN,,,28790,08,130,088,T07954,0790199999,,7,B1,3,079-08-142,142,18,534-3,2,3,20030331,19860101,,439656,4490209,N,,,,,C-4,439546.426,4490001.2617
55,5_64,20260529,5,64,RAMÓN Y CAJAL,,S,64,97201,,92,311,U,28,079,07901,0790101,08431,Calle,de,San Modesto,N,50,,,28034,08,111,086,T0791097,0790101069,,7,A,2,079-08-187,187,56,559-1,2,3,20030331,19860101,,441232,4482389,N,,,,,"C-7, C-8a, C-8b",441122.033,4482181.2767
56,5_76,20260529,5,76,SANTA MARÍA DE LA ALAMEDA,,S,76,10206,,93,341,U,28,135,13501,1350101,A0055,Calle, ,Doce de Octubre,N,20,,,28296,01,001,,T135128,1350101001,,6,C2,4,135-001,1169,94,532-4,2,3,20030331,19860101,,392663,4491886,T,,,,,C-8a,392553.4458,4491679.4041
